id,name,romaji,image_url,cn_path,romaji_path
110430002,智慧弓,ZhiHuiGong,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_BW_0020_T05.png,智慧弓.png,ZhiHuiGong_110430002.png
110430003,聖靈弓,ShengLingGong,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_BW_0058_T04.png,聖靈弓.png,ShengLingGong_110430003.png
110430006,幻象弓,HuanXiangGong,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_BW_0020_T05.png,幻象弓.png,HuanXiangGong_110430006.png
110430007,死靈弓,SiLingGong,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_BW_0058_T04.png,死靈弓.png,SiLingGong_110430007.png
110430010,平靜弓,PingJingGong,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_BW_0038_T05.png,平靜弓.png,PingJingGong_110430010.png
110430011,勇氣弓,YongQiGong,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_BW_0065_T05.png,勇氣弓.png,YongQiGong_110430011.png
110430012,沒落古代神弓,MeiLuoGuDaiShenGong,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_BW_0078_T05.png,沒落古代神弓.png,MeiLuoGuDaiShenGong_110430012.png
110430013,達人閃耀的世界樹弓,DaRenShanYaoDeShiJieShuGong,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_BW_0064_T05.png,達人閃耀的世界樹弓.png,DaRenShanYaoDeShiJieShuGong_110430013.png
110430014,達人閃耀的菩提弓,DaRenShanYaoDePuTiGong,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_BW_0064_T05.png,達人閃耀的菩提弓.png,DaRenShanYaoDePuTiGong_110430014.png
110430015,真龍王弓,ZhenLongWangGong,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_BW_0036_T05.png,真龍王弓.png,ZhenLongWangGong_110430015.png
110430016,白龍王弓,BaiLongWangGong,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_BW_0068_T05.png,白龍王弓.png,BaiLongWangGong_110430016.png
110430017,閃耀的真龍王弓,ShanYaoDeZhenLongWangGong,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_BW_0036_T05.png,閃耀的真龍王弓.png,ShanYaoDeZhenLongWangGong_110430017.png
110430018,閃耀的白龍王弓,ShanYaoDeBaiLongWangGong,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_BW_0068_T05.png,閃耀的白龍王弓.png,ShanYaoDeBaiLongWangGong_110430018.png
110430019,乾龍王弓,QianLongWangGong,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_BW_0036_T05.png,乾龍王弓.png,QianLongWangGong_110430019.png
110430020,黑龍王弓,HeiLongWangGong,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_BW_0068_T05.png,黑龍王弓.png,HeiLongWangGong_110430020.png
110430021,閃耀的乾龍王弓,ShanYaoDeQianLongWangGong,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_BW_0036_T05.png,閃耀的乾龍王弓.png,ShanYaoDeQianLongWangGong_110430021.png
110430022,閃耀的黑龍王弓,ShanYaoDeHeiLongWangGong,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_BW_0068_T05.png,閃耀的黑龍王弓.png,ShanYaoDeHeiLongWangGong_110430022.png
110430023,鳴龍王弓,MingLongWangGong,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_BW_0100_T06.png,鳴龍王弓.png,MingLongWangGong_110430023.png
