id,name,romaji,image_url,cn_path,romaji_path
110730002,智慧釘錘,ZhiHuiDingChui,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_MA_0020_T05.png,智慧釘錘.png,ZhiHuiDingChui_3.png
110730003,聖靈釘錘,ShengLingDingChui,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_MA_0058_T04.png,聖靈釘錘.png,ShengLingDingChui_3.png
110730006,幻象釘錘,HuanXiangDingChui,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_MA_0020_T05.png,幻象釘錘.png,HuanXiangDingChui_3.png
110730007,死靈釘錘,SiLingDingChui,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_MA_0058_T04.png,死靈釘錘.png,SiLingDingChui_3.png
110730010,平靜釘錘,PingJingDingChui,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_MA_0038_T05.png,平靜釘錘.png,PingJingDingChui_3.png
110730011,勇氣釘錘,YongQiDingChui,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_MA_0065_T05.png,勇氣釘錘.png,YongQiDingChui_3.png
110730012,沒落古代神釘錘,MeiLuoGuDaiShenDingChui,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_MA_0078_T05.png,沒落古代神釘錘.png,MeiLuoGuDaiShenDingChui_3.png
110730013,達人閃耀的奧里哈康釘錘,DaRenShanYaoDeAoLiHaKangDingChui,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_MA_0064_T05.png,達人閃耀的奧里哈康釘錘.png,DaRenShanYaoDeAoLiHaKangDingChui_5.png
110730014,達人閃耀的奧里哈康釘錘,DaRenShanYaoDeAoLiHaKangDingChui,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_MA_0064_T05.png,達人閃耀的奧里哈康釘錘.png,DaRenShanYaoDeAoLiHaKangDingChui_6.png
110730015,真龍王釘錘,ZhenLongWangDingChui,https://assets.playnccdn.com/static-aion2-gamedata/resources/Icon_WP_MA_0036_T05.png,真龍王釘錘.png,ZhenLongWangDingChui_3.png
